DATAFLOW,LAST UPDATE,freq,sex,isced11,iscedf13,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,AL,2022,69.8,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,AT,2022,55.0,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,BE,2022,57.8,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,BG,2022,65.5,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,CY,2022,74.2,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,CZ,2022,60.4,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,DE,2022,54.6,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,DK,2022,56.4,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,EE,2022,64.6,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,EL,2022,64.0,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,ES,2022,58.7,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,FI,2022,61.8,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,FR,2022,55.5,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,HR,2022,62.4,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,HU,2022,57.2,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,IE,2022,58.3,d
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,IS,2022,70.7,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,IT,2022,58.3,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,LT,2022,66.1,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,LU,2022,49.8,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,LV,2022,65.9,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,MK,2022,61.3,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,MT,2022,56.1,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,NL,2022,57.2,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,PL,2022,67.3,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,PT,2022,59.3,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,RS,2022,63.6,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,SE,2022,60.8,
ESTAT:EDUC_UOE_GRAD10(1.0),02/09/24 23:00:00,A,F,ED7,TOTAL,PC,TR,2022,49.6,
