DATAFLOW,LAST UPDATE,freq,wstatus,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,AT,2022,7.6,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,BE,2022,3.1,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,BG,2022,8.1,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,CH,2022,8.4,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,CY,2022,8.2,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,CZ,2022,3.8,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,DE,2022,7.1,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,DK,2022,5.4,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,EE,2022,9.2,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,EL,2022,7.7,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,ES,2022,10.6,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,FI,2022,2.1,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,FR,2022,7.5,b
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,HR,2022,4.3,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,HU,2022,7.1,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,IE,2022,4.8,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,IT,2022,9.2,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,LT,2022,7.7,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,LU,2022,13.4,b
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,LV,2022,10.1,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,ME,2022,4.0,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,MT,2022,4.0,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,NL,2022,4.4,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,NO,2022,5.3,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,PL,2022,7.6,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,PT,2022,9.0,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,RO,2022,9.9,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,RS,2022,4.4,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,SE,2022,6.5,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,SI,2022,4.0,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,SK,2022,6.2,
ESTAT:TESOV110(1.0),04/10/24 23:00:00,A,EMP,PC,Y_GE18,F,TR,2022,9.0,
